"Location","Line number","TODO","Description"
"./src/main/java/com/pasodoff/hcp/badapple/Application.java","54","                            // TODO"," HCP Comment within security framework constructor arguements"
"./src/main/java/com/pasodoff/hcp/badapple/Application.java","56","                            // TODO"," Hard coded admin username and password"
"./src/main/java/com/pasodoff/hcp/badapple/model/User.java","44","        // TODO"," Hard coded default password"
"./src/main/java/com/pasodoff/hcp/badapple/model/User.java","46","        // TODO"," Password left in comment"
"./src/main/java/com/pasodoff/hcp/badapple/util/Encryption.java","15","    // TODO"," Hard coded encryption key"
"./src/main/java/com/pasodoff/hcp/badapple/util/Encryption.java","17","    // TODO"," Hard coded initialization vector"
"./src/main/resources/application-local.properties","13","# TODO"," SSL Keystore exposed credentials"
"./src/main/resources/application-prod.properties","5","# TODO"," Plaintext Password in configuration"
"./src/main/resources/application-prod.properties","15","# TODO"," Base64 encoded password"
"./src/main/resources/application-prod.properties","18","# TODO"," SSL Keystore exposed credentials"
"./src/main/resources/application-uat.properties","5","# TODO"," Plaintext Password in configuration"
"./src/main/resources/application-uat.properties","14","# TODO"," Base64 encoded password"
"./src/main/resources/application-uat.properties","18","# TODO"," SSL Keystore exposed credentials"
"./src/main/resources/application.properties","4","# TODO"," Plaintext Password in configuration"
"./src/main/resources/application.properties","14","# TODO"," Base64 encoded password"
"./src/main/resources/application.properties","17","# TODO"," SSL Keystore exposed credentials"
